Topic (level 1)        Topic (level 2)        Topic (level 3)        concept_text_long        item_name        variable_label        source        measure_wave        suf_index        data_collection_a        mode_a        sort_id        Annotations
Socio-demographic characteristics        Demographic characteristics & housing situation        Age & gender        Birthdate [month]        birthdat_m        When were you born? [month]        TREE        0, 1, 2        Wave-specific        Base (BQ)        CATI        4        
Socio-demographic characteristics        Demographic characteristics & housing situation        Age & gender        Birthdate [year]        birthdat_y        When were you born? [year]        TREE        0, 1, 2        Wave-specific        Base (BQ)        CATI        5        
Socio-demographic characteristics        Demographic characteristics & housing situation        Age & gender        Gender                                                                                  sex        Are you female or male?        TREE        0, 1, 2        Wave-specific        Base (BQ)        CATI        6        
Socio-demographic characteristics        Demographic characteristics & housing situation        Civil status        Civil status        civil        What is your civil status?        TREE        2        Wave-specific        Base (BQ)        CATI        8        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Canton        aes_canton        Canton        Verner and Helbling (2019)        0        Wave-specific, Weights        AES sampling frame                10        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Language region        aes_langreg        Language region        Verner and Helbling (2019)        0        Wave-specific, Weights        AES sampling frame                11        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Mother relation        mother        When you say mother, who do you mean? (Mother relation)        NEPS (2013), DAB-Panelstudie (2020)        0        Wave-specific        Base (BQ)        CASI        12        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Father relation        father        When you say father, who do you mean? (Father relation)        NEPS (2013), DAB-Panelstudie (2020)        0        Wave-specific        Base (BQ)        CASI        13        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Number of siblings: older        nsibolder        Number of siblings: older        PISA 2000, Kunter et al. (2002)        0        Wave-specific        Base (BQ)        CASI/Web/PP        14        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Number of siblings: younger        nsibyounger        Number of siblings: younger        PISA 2000, Kunter et al. (2002)        0        Wave-specific        Base (BQ)        CASI/Web/PP        15        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Number of siblings: equal        nsibequal        Number of siblings: equal        PISA 2000, Kunter et al. (2002)        0        Wave-specific        Base (BQ)        CASI/Web/PP        16        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Family household structure        famstruc        Family household structure        PISA 2000, PISA 2012, Kunter et al. (2002), Mang et al. (2018)        0        Wave-specific        Base (BQ)        CASI        17        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Household members        hhmemb1        Mother (Household members)        PISA 2000, PISA 2012, Kunter et al. (2002), Mang et al. (2018)        0        Wave-specific        Base (BQ)        CASI        18        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Household members        hhmemb2        Step/foster mother, or father's girlfriend (Household members)        PISA 2000, PISA 2012, Kunter et al. (2002), Mang et al. (2018)        0        Wave-specific        Base (BQ)        CASI        19        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Household members        hhmemb3        Father (Household members)        PISA 2000, PISA 2012, Kunter et al. (2002), Mang et al. (2018)        0        Wave-specific        Base (BQ)        CASI        20        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Household members        hhmemb4        Step/foster father, or mothers's boyfriend (Household members)        PISA 2000, PISA 2012, Kunter et al. (2002), Mang et al. (2018)        0        Wave-specific        Base (BQ)        CASI        21        
Socio-demographic characteristics        Demographic characteristics & housing situation        Housing situation        Household members        hhmemb5        Brothers (Household members)        PISA 2000, PISA 2012, Kunter et al. (2002), Mang et al. (2018)        0        Wave-specific        Base (BQ)        CASI        22        
